Date/Time,SHOEBOX:Zone Air Temperature [C](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PEOPLE_COMFORT:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 07/30  13:00:00,26.0,0.0,2631093.8572668766,36.578241381964058 
 07/30  14:00:00,26.0,0.0,3164622.4369945137,40.754101254326517 
 07/30  15:00:00,26.0,0.0,3045472.5959379759,39.728630785075747 
 07/30  16:00:00,26.0,0.0,3240363.1649645485,41.128284253948688 
 07/30  17:00:00,26.0,0.0,3244599.378926308,41.09581900590813 
 07/30  18:00:00,26.0,0.0,2456149.149989605,35.071281914544268 
 07/30  19:00:00,26.0,0.0,1824596.542161746,30.83017745773728 
 07/30  20:00:00,26.0,0.0,1115740.6033591848,27.710341779329729 
 07/30  21:00:00,25.998324531078877,0.0,345447.0676644754,23.578756852079594 
 07/30  22:00:00,25.756128113798085,0.0,0.0,19.379249060968659 
 07/30  23:00:00,25.17364417178487,0.0,0.0,14.637763380389265 
 07/30  24:00:00,24.634611625763087,0.0,0.0,11.379698496782633 
 07/31  01:00:00,24.195930828828666,0.0,0.0,9.251945504373964 
 07/31  02:00:00,23.815651723218566,0.0,0.0,7.700644556714072 
 07/31  03:00:00,23.42036905411656,0.0,0.0,6.44278471296559 
 07/31  04:00:00,23.037177657742807,0.0,0.0,5.602040083406507 
 07/31  05:00:00,22.653726485036278,0.0,0.0,5.129848363724506 
 07/31  06:00:00,22.353440343984606,0.0,0.0,5.024583122225136 
 07/31  07:00:00,22.86494615233352,0.0,0.0,6.038596878280704 
 07/31  08:00:00,23.56998174985888,0.0,0.0,7.7685161132697859 
 07/31  09:00:00,24.12635480348433,0.0,0.0,10.954808595370756 
 07/31  10:00:00,25.097607313580224,0.0,0.0,18.46192221581181 
 07/31  11:00:00,25.85950136864207,0.0,426828.20956625018,26.41647832512659 
 07/31  12:00:00,25.999999999999745,0.0,1350881.7120810089,29.24179600336122 
